sample_id,time_point,stage,omics_type,replicate,paired
34.bam,0h,GV,Transcriptome,1,34R.bam
X90.bam,0h,GV,Transcriptome,2,43R.bam
F12.bam,0h,GV,Transcriptome,3,44R.bam
F46.bam,0h,GV,Transcriptome,4,F46R.bam
F47.bam,0h,GV,Transcriptome,5,F47R.bam
F3.bam,3h,GVBD,Transcriptome,1,F3R.bam
F9.bam,3h,GVBD,Transcriptome,2,F9R.bam
F21.bam,3h,GVBD,Transcriptome,3,F21R.bam
F53.bam,3h,GVBD,Transcriptome,4,F53R.bam
F54.bam,3h,GVBD,Transcriptome,5,F54R.bam
H6.bam,6h,MI-6,Transcriptome,1,H6R.bam
H7.bam,6h,MI-6,Transcriptome,2,H7R.bam
F25.bam,6h,MI-6,Transcriptome,3,F25R.bam
F26.bam,6h,MI-6,Transcriptome,4,F26R.bam
F60.bam,6h,MI-6,Transcriptome,5,F60R.bam
F30.bam,9h,MI-9,Transcriptome,1,F30R.bam
F35.bam,9h,MI-9,Transcriptome,2,F35R.bam
F36.bam,9h,MI-9,Transcriptome,3,F36R.bam
F61.bam,9h,MI-9,Transcriptome,4,F66R.bam
F67.bam,9h,MI-9,Transcriptome,5,NA
C15.bam,12h,MII,Transcriptome,1,C15R
C41.bam,12h,MII,Transcriptome,2,C41R.bam
F14.bam,12h,MII,Transcriptome,3,F17R.bam
F15.bam,12h,MII,Transcriptome,4,F15R.bam
F16.bam,12h,MII,Transcriptome,5,F16R.bam
34R.bam,0h,GV,Translatome,1,34.bam
43R.bam,0h,GV,Translatome,2,X90.bam
44R.bam,0h,GV,Translatome,3,F12.bam
F46R.bam,0h,GV,Translatome,4,F46.bam
F47R.bam,0h,GV,Translatome,5,F47.bam
F3R.bam,3h,GVBD,Translatome,1,F3.bam
F9R.bam,3h,GVBD,Translatome,2,F9.bam
F21R.bam,3h,GVBD,Translatome,3,F21.bam
F53R.bam,3h,GVBD,Translatome,4,F53.bam
F54R.bam,3h,GVBD,Translatome,5,F54.bam
H6R.bam,6h,MI-6,Translatome,1,H6.bam
H7R.bam,6h,MI-6,Translatome,2,H7.bam
F25R.bam,6h,MI-6,Translatome,3,F25.bam
F26R.bam,6h,MI-6,Translatome,4,F26.bam
F60R.bam,6h,MI-6,Translatome,5,F60.bam
F30R.bam,9h,MI-9,Translatome,1,F30.bam
F35R.bam,9h,MI-9,Translatome,2,F35.bam
F36R.bam,9h,MI-9,Translatome,3,F36.bam
F66R.bam,9h,MI-9,Translatome,4,F61.bam
C15R,12h,MII,Translatome,1,C15.bam
C41R.bam,12h,MII,Translatome,2,C41.bam
F15R.bam,12h,MII,Translatome,3,F14.bam
F16R.bam,12h,MII,Translatome,4,F15.bam
F17R.bam,12h,MII,Translatome,5,F16.bam
